beta,fval,gamma,n,phim,s1,t0,ti,tr
1.3,153.70838308964204,0.15,2701743.0,0.10605609118636819,0.005,22.51089924998994,5.0,3.5
1.3,155.4438626141628,0.15,2701743.0,0.06642446127176976,0.0075,24.48794562653068,5.0,3.5
1.3,156.7028910370892,0.15,2701743.0,0.052627183916249924,0.01,25.47192708926255,5.0,3.5
1.3,352.7885282241111,0.15,2701743.0,0.13132493895104683,0.005,27.226503737240098,5.25,2.5
1.3,354.81928563694436,0.15,2701743.0,0.08869474046673181,0.0075,29.216504340478203,5.25,2.5
1.3,357.81949342824066,0.15,2701743.0,0.059980800445168035,0.01,31.201758943439206,5.25,2.5
1.3,282.3968749788071,0.15,2701743.0,0.12596013781926113,0.005,25.765758881692868,5.25,2.75
1.3,284.5579630749682,0.15,2701743.0,0.08342831518731611,0.0075,27.75321220210004,5.25,2.75
1.3,287.8210801879025,0.15,2701743.0,0.05534811743937111,0.01,29.73439736027634,5.25,2.75
1.3,223.6482752903379,0.15,2701743.0,0.10542859306202865,0.005,25.39537588028446,5.25,3.0
1.3,226.18322129469152,0.15,2701743.0,0.06868680106965966,0.0075,27.378596085150143,5.25,3.0
1.3,227.92895363872807,0.15,2701743.0,0.05548461778244956,0.01,28.36710438865545,5.25,3.0
1.3,178.06576479456436,0.15,2701743.0,0.11576690918850943,0.005,23.947924444066985,5.25,3.25
1.3,179.95283680909586,0.15,2701743.0,0.07427030481381847,0.0075,25.928599786163367,5.25,3.25
1.3,181.27603174273614,0.15,2701743.0,0.059538648454174885,0.01,26.915247713271363,5.25,3.25
1.3,148.0442954820095,0.15,2701743.0,0.10671213653177405,0.005,23.56474751083646,5.25,3.5
1.3,149.38432799757655,0.15,2701743.0,0.06758967939202123,0.0075,25.54133987273444,5.25,3.5
1.3,150.3550742783548,0.15,2701743.0,0.05384875502860227,0.01,26.525119747365522,5.25,3.5
1.3,333.2659359317925,0.15,2701743.0,0.11466429134815168,0.005,29.206040510004236,5.5,2.5
1.3,335.43086124999036,0.15,2701743.0,0.07824938922305796,0.0075,31.19407296387291,5.5,2.5
1.3,336.8644830724477,0.15,2701743.0,0.06467491447263035,0.01,32.186194926460004,5.5,2.5
1.3,265.1602165753519,0.15,2701743.0,0.13118175303307095,0.005,26.785658238305288,5.5,2.75
1.3,267.0587504177819,0.15,2701743.0,0.08776986239591061,0.0075,28.773002066813945,5.5,2.75
1.3,269.8991997262093,0.15,2701743.0,0.05881201000872463,0.01,30.754307601736233,5.5,2.75
1.3,210.53455886847897,0.15,2701743.0,0.10864788722008849,0.005,26.419192459037504,5.5,3.0
1.3,212.7093236735423,0.15,2701743.0,0.07151673969213401,0.0075,28.402354001934366,5.5,3.0
1.3,214.19749760387555,0.15,2701743.0,0.058065991079274494,0.01,29.390874629320194,5.5,3.0
1.3,169.61858704660395,0.15,2701743.0,0.11742508573064539,0.005,25.049782755887357,5.5,3.25
1.3,171.25840717561383,0.15,2701743.0,0.07612569518097001,0.0075,27.03237722742829,5.5,3.25
1.3,172.38947654953498,0.15,2701743.0,0.061349615578254024,0.01,27.97007921314531,5.5,3.25
1.3,144.92041740143404,0.15,2701743.0,0.10710982396009336,0.005,24.617604823647447,5.5,3.5
1.3,145.9129305605981,0.15,2701743.0,0.06856608032193542,0.0075,26.59370932054886,5.5,3.5
1.3,146.633384885614,0.15,2701743.0,0.05491587768614818,0.01,27.577242157760114,5.5,3.5
1.3,222.631111022308,0.2,2701743.0,0.09672025227742612,0.005,24.930435694764213,4.5,2.5
1.3,224.10462550862093,0.2,2701743.0,0.07822646293204844,0.0075,25.92067901087617,4.5,2.5
1.3,228.20414861509482,0.2,2701743.0,0.05125735963678489,0.01,27.894015572816834,4.5,2.5
1.3,162.70179881310216,0.2,2701743.0,0.09359074269421377,0.005,23.713398667299614,4.5,2.75
1.3,165.18573999164775,0.2,2701743.0,0.0600728991526169,0.0075,25.686020311313897,4.5,2.75
1.3,166.95313323535572,0.2,2701743.0,0.04818561317213202,0.01,26.66730985666181,4.5,2.75
1.3,136.4123730390355,0.2,2701743.0,0.09704621764291843,0.005,22.53097575765404,4.5,3.0
1.3,137.0053659455835,0.2,2701743.0,0.0612350877131172,0.0075,24.498849909297604,4.5,3.0
1.3,137.50447052205476,0.2,2701743.0,0.048713140545959155,0.01,25.47668141993939,4.5,3.0
1.3,147.68668390292575,0.2,2701743.0,0.08365577607239122,0.005,22.433689749807336,4.5,3.25
1.3,145.57362235436486,0.2,2701743.0,0.05209505949181081,0.0075,24.388813357271218,4.5,3.25
1.3,144.241428718894,0.2,2701743.0,0.041194964933475325,0.01,25.357637802383838,4.5,3.25
1.3,197.4504364044768,0.2,2701743.0,0.0742162535958529,0.005,22.33343164349382,4.5,3.5
1.3,191.17788417037016,0.2,2701743.0,0.045716156265930216,0.0075,24.275914283206497,4.5,3.5
1.3,186.95613856871358,0.2,2701743.0,0.03598021981619831,0.01,25.235679612687054,4.5,3.5
1.3,207.49055698573127,0.2,2701743.0,0.10343236023229407,0.005,26.03367298674509,4.75,2.5
1.3,210.18926995286017,0.2,2701743.0,0.06848876243263428,0.0075,27.946590578688248,4.75,2.5
1.3,212.02581246607053,0.2,2701743.0,0.055774985818827706,0.01,28.93237110004429,4.75,2.5
1.3,155.44037546098107,0.2,2701743.0,0.09829121728250753,0.005,24.763831244192033,4.75,2.75
1.3,157.29707327691474,0.2,2701743.0,0.06384107057125575,0.0075,26.736842979279825,4.75,2.75
1.3,158.6135235101035,0.2,2701743.0,0.051507070159329614,0.01,27.71856473716918,4.75,2.75
1.3,137.32549683095775,0.2,2701743.0,0.10007538776821015,0.005,23.588186245476283,4.75,3.0
1.3,137.39850197948698,0.2,2701743.0,0.06391341844197929,0.0075,25.556306424302704,4.75,3.0
1.3,137.52094787499522,0.2,2701743.0,0.05114600397751398,0.01,26.53449468243997,4.75,3.0
1.3,155.65753198416397,0.2,2701743.0,0.08526780441440306,0.005,23.48969960800217,4.75,3.25
1.3,153.10610588897376,0.2,2701743.0,0.053748155286783214,0.0075,25.445299129190396,4.75,3.25
1.3,151.45466926973316,0.2,2701743.0,0.04275540456887866,0.01,26.414545431094403,4.75,3.25
1.3,210.93766805695503,0.2,2701743.0,0.07483631745709837,0.005,23.383863361588055,4.75,3.5
1.3,204.4518759898777,0.2,2701743.0,0.04666297150615639,0.0075,25.326827711615024,4.75,3.5
1.3,200.07878250576803,0.2,2701743.0,0.036943252199606876,0.01,26.287166673511262,4.75,3.5
1.3,196.27724776227146,0.2,2701743.0,0.10998311353642332,0.005,27.036107297721056,5.0,2.5
1.3,198.51022651368936,0.2,2701743.0,0.07362225203172373,0.0075,28.981798566774994,5.0,2.5
1.3,201.81412439880836,0.2,2701743.0,0.049385550803201256,0.01,30.951308590588344,5.0,2.5
1.3,151.58016641116905,0.2,2701743.0,0.10273028105732429,0.005,25.81184688199791,5.0,2.75
1.3,152.92407283195092,0.2,2701743.0,0.06747360862741733,0.0075,27.785301266404375,5.0,2.75
