,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values
,Andalucia,Date,Aragon,Asturias,Baleares,Canarias,Cantabria,Castilla La Mancha,Castilla y Leon,Cataluna,C. Valenciana,Extremadura,Galicia,Madrid,Melilla,Murcia,Navarra,Pais Vasco,La Rioja,Andalucia,Date,Aragon,Asturias,Baleares,Canarias,Cantabria,Castilla La Mancha,Castilla y Leon,Cataluna,C. Valenciana,Extremadura,Galicia,Madrid,Melilla,Murcia,Navarra,Pais Vasco,La Rioja
24,5.656854249492381,2020-03-29,3.3166247903554,1.7320508075688772,1.7320508075688772,1.7320508075688772,2.0,9.539392014169456,7.681145747868608,8.774964387392123,5.744562646538029,3.4641016151377544,3.605551275463989,18.027756377319946,0.0,1.7320508075688772,3.7416573867739413,4.898979485566356,1.7320508075688772,46.5,2020-03-29,21.0,15.0,3.0,3.0,4.0,171.0,153.0,421.0,33.0,21.0,13.0,524.0,0.0,10.0,30.0,56.0,7.0
25,5.385164807134504,2020-03-30,1.4142135623730951,3.4641016151377544,2.8284271247461903,1.0,1.0,9.1104335791443,7.874007874011811,8.888194417315589,6.557438524302,2.449489742783178,2.449489742783178,17.60681686165901,0.0,2.23606797749979,4.242640687119285,5.656854249492381,1.7320508075688772,50.5,2020-03-30,31.0,12.0,8.0,6.0,21.0,203.0,132.0,469.0,86.0,42.0,21.0,501.0,0.0,5.0,34.0,32.0,8.0
26,3.4641016151377544,2020-03-31,5.656854249492381,2.6457513110645907,2.23606797749979,3.872983346207417,3.1622776601683795,9.273618495495704,8.602325267042627,15.264337522473747,5.385164807134504,5.196152422706632,4.242640687119285,14.52583904633395,0.0,3.0,3.3166247903554,5.291502622129181,3.7416573867739413,67.5,2020-03-31,32.0,20.0,5.0,15.0,17.0,234.0,138.5,454.0,86.5,27.0,42.0,549.0,0.0,16.0,29.0,68.5,14.0
27,7.745966692414834,2020-04-01,5.5677643628300215,3.0,2.0,2.6457513110645907,4.123105625617661,8.12403840463596,8.306623862918075,15.556349186104045,7.483314773547883,4.358898943540674,4.358898943540674,16.186414056238647,0.0,1.7320508075688772,4.123105625617661,6.6332495807108,2.23606797749979,82.5,2020-04-01,31.0,9.0,4.0,19.0,17.0,238.0,171.5,403.0,74.0,32.5,31.5,570.0,0.0,3.0,17.0,44.0,5.0
28,5.916079783099616,2020-04-02,5.5677643628300215,1.0,3.4641016151377544,2.449489742783178,2.449489742783178,8.94427190999916,7.483314773547883,13.076696830622021,6.928203230275509,5.385164807134504,4.123105625617661,17.60681686165901,0.0,2.23606797749979,3.3166247903554,6.557438524302,3.3166247903554,100.0,2020-04-02,31.0,6.0,12.0,6.0,6.0,194.0,122.5,404.5,64.5,29.0,28.5,546.75,0.0,5.0,27.0,43.0,11.0
29,5.744562646538029,2020-04-03,4.898979485566356,2.0,3.3166247903554,2.23606797749979,2.0,7.874007874011811,9.055385138137417,12.449899597988733,8.246211251235321,4.358898943540674,4.242640687119285,17.549928774784245,1.0,2.0,3.1622776601683795,5.656854249492381,2.8284271247461903,51.0,2020-04-03,24.0,22.0,11.0,22.0,4.0,219.0,143.0,406.5,68.0,19.0,18.0,456.25,1.0,4.0,35.0,75.0,8.0
30,7.0710678118654755,2020-04-04,5.196152422706632,1.7320508075688772,1.4142135623730951,2.23606797749979,2.0,8.54400374531753,7.937253933193772,12.0,7.745966692414834,2.8284271247461903,4.58257569495584,15.491933384829668,0.0,2.23606797749979,4.47213595499958,5.744562646538029,4.358898943540674,50.0,2020-04-04,27.0,3.0,2.0,5.0,4.0,179.0,130.0,375.5,60.0,8.0,21.0,392.0,0.0,13.0,20.0,61.0,19.0
31,6.6332495807108,2020-04-05,4.358898943540674,2.0,2.0,1.4142135623730951,0.0,8.12403840463596,7.810249675906654,11.180339887498949,6.48074069840786,3.1622776601683795,3.872983346207417,14.7648230602334,0.0,2.8284271247461903,2.6457513110645907,6.164414002968976,2.449489742783178,44.0,2020-04-05,37.0,11.0,4.0,2.0,7.0,169.0,123.0,356.5,42.0,10.0,33.5,451.5,0.0,16.0,40.0,64.0,12.0
32,4.58257569495584,2020-04-06,3.7416573867739413,2.449489742783178,2.449489742783178,2.23606797749979,3.0,8.774964387392123,8.48528137423857,10.677078252031311,4.898979485566356,3.1622776601683795,4.0,13.96424004376894,0.0,3.0,3.0,5.744562646538029,2.6457513110645907,61.0,2020-04-06,35.0,6.0,6.0,5.0,9.0,176.0,105.5,368.0,52.5,30.0,16.0,397.5,0.0,9.0,24.0,57.0,7.0
33,6.082762530298219,2020-04-07,5.291502622129181,2.8284271247461903,1.7320508075688772,2.0,2.8284271247461903,6.708203932499369,7.937253933193772,12.727922061357855,5.916079783099616,5.477225575051661,3.7416573867739413,15.329709716755891,0.0,3.1622776601683795,3.872983346207417,6.164414002968976,4.358898943540674,61.0,2020-04-07,28.0,8.0,3.0,12.0,8.0,153.0,112.5,382.0,72.0,44.0,33.5,401.5,0.0,10.0,28.0,62.0,19.0
34,8.774964387392123,2020-04-08,6.082762530298219,2.449489742783178,2.23606797749979,1.4142135623730951,2.6457513110645907,8.831760866327848,6.782329983125268,11.532562594670797,7.211102550927978,3.605551275463989,3.0,14.66287829861518,0.0,2.6457513110645907,2.0,7.0,4.123105625617661,77.0,2020-04-08,37.0,21.0,12.0,10.0,7.0,140.5,115.5,354.0,52.0,33.0,36.0,365.0,0.0,7.0,12.0,49.0,17.0
35,6.855654600401044,2020-04-09,6.0,2.449489742783178,0.0,1.0,2.449489742783178,8.18535277187245,7.3484692283495345,14.317821063276353,6.557438524302,3.4641016151377544,4.242640687119285,14.628738838327793,0.0,1.7320508075688772,2.8284271247461903,7.3484692283495345,2.23606797749979,47.0,2020-04-09,36.0,25.0,10.0,1.0,6.0,136.0,90.5,366.0,43.0,22.0,18.0,263.0,0.0,3.0,24.0,54.0,5.0
36,6.244997998398398,2020-04-10,4.898979485566356,4.0,2.8284271247461903,1.4142135623730951,2.0,10.44030650891055,6.855654600401044,10.954451150103322,5.385164807134504,2.23606797749979,3.4641016151377544,13.114877048604,0.0,1.4142135623730951,2.0,6.324555320336759,3.7416573867739413,62.0,2020-04-10,43.0,16.0,8.0,2.0,13.0,109.0,68.0,324.0,53.0,23.0,32.0,295.0,0.0,2.0,25.0,40.0,14.0
37,6.782329983125268,2020-04-11,4.0,2.23606797749979,2.23606797749979,1.0,2.23606797749979,7.211102550927978,7.14142842854285,9.486832980505138,4.69041575982343,3.872983346207417,4.242640687119285,10.583005244258363,0.0,2.0,3.0,6.0,3.3166247903554,46.0,2020-04-11,31.0,5.0,5.0,8.0,5.0,67.0,98.0,291.0,22.0,15.0,18.0,273.5,0.0,4.0,17.0,61.0,11.0
